,uid,location,age,rating
0,9,"germantown, tennessee, usa",,0
1,44,"black mountain, north carolina, usa",51.0,0
2,68,"montreal, quebec, canada",,0
3,151,"darwin, northern territory, australia",,0
4,256,"boston, massachusetts, usa",,0
5,300,"newport news, virginia, usa",,0
6,338,"minneapolis, minnesota, usa",,0
7,400,"st. louis, missouri, usa",,0
8,469,"corona, california, usa",18.0,0
9,547,"presque isle, maine, usa",,0
10,559,"pulaski, virginia, usa",,0
11,559,"pulaski, virginia, usa",,0
12,970,"sydney, new south wales, australia",15.0,0
13,1087,"birmingham, alabama, usa",46.0,0
14,1087,"birmingham, alabama, usa",46.0,0
15,1089,"perry, florida, usa",22.0,0
16,1132,"tigard, oregon, usa",,0
17,1225,"lombard, illinois, usa",22.0,0
18,1433,"woodbridge, california, usa",54.0,3
19,1569,"boston, massachusetts, usa",,0
20,1610,"charlotte, north carolina, usa",,0
21,1643,"perth, western australia, australia",24.0,0
22,1904,"canberra, australian capital territory, australia",,0
23,1927,"salem, oregon, usa",20.0,0
24,1949,"wilmington, north carolina, usa",,0
25,2158,"james island, south carolina, usa",58.0,0
26,2238,"san diego, california, usa",34.0,0
27,2244,"embro, ontario, canada",,0
28,2275,"prescott, arizona, usa",22.0,0
29,2470,"phoenix, arizona, usa",22.0,0
30,2540,"vienna, virginia, usa",46.0,0
31,2771,"lake orion, michigan, usa",56.0,0
32,2870,"cassville, missouri, usa",,0
33,2957,"christchurch, n/a, new zealand",34.0,0
34,3071,"portland, oregon, usa",,0
35,3185,"oslo, oslo, norway",,0
36,3268,"seattle, washington, usa",,0
37,3454,"dallas, texas, usa",36.0,0
38,3573,"fair lawn, new jersey, usa",32.0,0
39,3575,"chicago, illinois, usa",35.0,0
40,3654,"esslingen, baden-württemberg, germany",,0
41,3668,"chicago, illinois, usa",25.0,0
42,3671,"lahaina, hawaii, usa",,0
43,3713,"juneau, alaska, usa",39.0,0
44,3879,"cliffside park, new jersey, usa",40.0,0
45,3890,"anchorage, alaska, usa",,0
46,3943,"detroit, michigan, usa",40.0,0
47,3954,"detroit, michigan, usa",24.0,0
48,3954,"detroit, michigan, usa",24.0,0
49,4062,"shrewsbury, shropshire, united kingdom",41.0,0
50,4124,"ottawa, ontario, canada",19.0,0
51,4577,"rio linda, california, usa",34.0,0
52,4673,"west covina, california, usa",,0
53,4794,"albuquerque, new mexico, usa",14.0,0
54,4799,"keswick, cumbria, united kingdom",,0
55,4808,"clinton, michigan, usa",,0
56,4811,"montreal, quebec, canada",50.0,0
57,4933,"moeville, minnesota, usa",33.0,0
58,4954,"portland, oregon, usa",,0
59,4973,"toronto, ontario, canada",29.0,0
60,5153,"matosinhos, porto, portugal",31.0,0
61,5224,"great village, nova scotia, canada",,0
62,5418,"elvas, elvas, portugal",26.0,0
63,5608,"melbourne, victoria, australia",,0
64,5700,"terre haute, indiana, usa",,0
65,5715,"silver spring, maryland, usa",,0
66,5724,"boston, massachusetts, usa",24.0,0
67,5724,"boston, massachusetts, usa",24.0,0
68,5733,"toronto, ontario, canada",,0
69,5738,"vancouver, british columbia, canada",,0
70,5761,"seattle, washington, usa",,0
71,5772,"milano, lombardia, italy",,0
72,5998,"seattle, washington, usa",32.0,3
73,6026,"bangor, maine, usa",,0
74,6392,"gardena, california,",,0
75,6496,"st. louis, missouri, usa",39.0,0
76,6525,"broomfield, colorado, usa",,0
77,6717,"louisville, kentucky, usa",36.0,0
78,6725,"london, london, united kingdom",,0
79,6895,"florham park, new jersey, usa",,0
80,7223,"inglewood, california, usa",,0
81,7226,"little rock, arkansas, usa",,0
82,7325,"north adams, massachusetts, usa",17.0,0
83,7364,"ithaca, new york, usa",26.0,0
84,7384,"miami, florida, usa",28.0,0
85,7384,"miami, florida, usa",28.0,0
86,7419,"tenino, washington, usa",25.0,3
87,7457,"chicago, illinois, usa",,0
88,7650,"clarksville, tennessee, usa",21.0,0
89,7749,"frederick, maryland, usa",31.0,0
90,7792,"pompton plains, new jersey, usa",60.0,0
91,7823,"newbury park, california, usa",25.0,0
92,7840,"saskatoon, saskatchewan, canada",,0
93,7925,"detroit, michigan, usa",29.0,0
94,8090,"durham, north carolina, usa",36.0,0
95,8268,"dallas, texas, usa",35.0,0
96,8600,"portland, oregon, usa",,0
97,8642,"san jose, ,",,0
98,8664,"reading, england, united kingdom",16.0,0
99,8685,"marietta, georgia, usa",32.0,0
100,8743,"madrid, madrid, spain",,0
101,8860,"lubbock, texas, usa",23.0,0
102,9090,"albuquerque, new mexico, usa",13.0,0
103,9108,"regina, saskatchewan, canada",,0
104,9275,"corpus christi, texas, usa",,3
105,9422,"indianapolis, indiana, usa",15.0,0
106,9592,"eugene, oregon, usa",40.0,0
107,9630,"port coquitlam, british columbia, canada",,0
108,9644,"hamilton, ontario, canada",59.0,0
109,9644,"hamilton, ontario, canada",59.0,0
110,9769,"brainerd, minnesota, usa",,0
111,9778,"albuquerque, new mexico, usa",,0
112,9825,"grand rapids, ,",,0
113,9834,"culleoka, tennessee, usa",30.0,0
114,9868,"la monte, missouri, usa",20.0,0
115,9896,"gibbon, nebraska, usa",,0
116,10005,"fullerton, california, usa",25.0,0
117,10090,"los angeles, california, usa",26.0,0
118,10144,"qualicum bay,, british columbia, canada",,0
119,10164,"mccomb, mississippi, usa",34.0,0
120,10174,"avalon, new south wales, australia",42.0,0
121,10179,"kearns, utah, usa",,0
122,10474,"berlin, berlin, germany",32.0,0
123,10633,"stockholm, n/a, sweden",20.0,0
124,10688,"manchester, tennessee, usa",,0
125,10727,"hartsdale, new york, usa",24.0,0
126,10878,"melbourne, florida, usa",,0
127,11143,"garland, texas, usa",,0
128,11249,"cambridge, massachusetts, usa",,0
129,11551,"tempe, arizona, usa",68.0,0
130,11668,"west lafayette, indiana, usa",35.0,0
131,11712,"out there, new york, usa",,0
132,11818,"kissimmee, florida, usa",,0
133,11898,"milwaukee, wisconsin, usa",25.0,0
134,12276,"salem, oregon, usa",27.0,0
135,12415,"adelaide, south australia, australia",58.0,0
136,12620,"fv, california, usa",,0
137,12626,"oshkosh, wisconsin, usa",42.0,3
138,12626,"oshkosh, wisconsin, usa",42.0,0
139,12626,"oshkosh, wisconsin, usa",42.0,0
140,12647,"new york, new york, usa",41.0,0
141,12671,"oceanside, new york, usa",,0
142,12671,"oceanside, new york, usa",,0
143,13001,"rochester, minnesota, usa",,3
144,13114,"potsdam, berlin, germany",35.0,0
145,13154,"oradell, new jersey, usa",46.0,0
146,13224,"juneau, alaska, usa",55.0,0
147,13295,"georgetown, kentucky, usa",26.0,0
148,13410,"las vegas, nevada, usa",,0
149,13605,"vancouver, british columbia, canada",,0
150,13780,"lake elsinore, california, usa",,0
151,13786,"edinburgh, scotland, united kingdom",25.0,0
152,13798,"roeland park, kansas, usa",,0
153,13811,"brighton, , usa",41.0,0
154,14018,"brisbane, queensland, australia",14.0,0
155,14062,"zaragoza, n/a, spain",,0
156,14137,"edinburgh, scotland, united kingdom",52.0,3
157,14155,"tirana, n/a, albania",34.0,0
158,14179,"sunnyvale, california, usa",36.0,0
159,14211,"vancouver, british columbia, canada",33.0,0
160,14240,"fremont, california, usa",,0
161,14272,"santa fe, new mexico, usa",33.0,0
162,14312,"carbondale, colorado, usa",36.0,0
163,14496,"fairbanks, alaska, usa",,0
164,14536,"fountain valley, california, usa",,0
165,14615,"cairns, queensland, australia",59.0,0
166,14687,"burlington, ontario, canada",21.0,0
167,14733,"bellevue, washington, usa",,0
168,14835,"washington, dc, usa",,0
169,14837,"prince george, british columbia, canada",,0
170,15094,"guelph, ontario, canada",27.0,0
171,15111,"kansas city, kansas, usa",19.0,0
172,15165,"salem, oregon, usa",,0
173,15173,"perth, western australia, australia",20.0,0
174,15330,"kansas city, kansas, usa",52.0,0
175,15523,"seri kembangan, selangor, malaysia",22.0,0
176,15540,"port washington, new york, usa",14.0,0
177,15573,"sneads, florida, usa",58.0,0
178,15666,"toronto, ontario, canada",29.0,0
179,15853,"radnor, pennsylvania, usa",,0
180,15862,"lewiston, idaho, usa",17.0,0
181,15871,"fiesole, ,",29.0,0
182,15908,"escondido, california, usa",,0
183,16056,"patchogue, new york, usa",38.0,0
184,16117,"camden, new jersey, usa",,0
185,16276,"suisun, california, usa",23.0,0
186,16470,"moncton, new brunswick, canada",,0
187,16471,"bedford, new hampshire, usa",54.0,0
188,16521,"dallas, texas, usa",32.0,0
189,16579,"west hickory, pennsylvania, usa",,0
190,16611,"newton, massachusetts, usa",,0
191,16665,"new brighton, pennsylvania, usa",55.0,0
192,16791,"hamilton, texas, usa",,0
193,16821,"sacramento, california, usa",56.0,0
194,16933,"bangalore, karnataka, india",34.0,0
195,16989,"dijon, bourgogne, france",35.0,0
196,17031,"victoria, british columbia, canada",,0
197,17031,"victoria, british columbia, canada",,0
198,17121,"tarragona, tarragona, spain",51.0,0
199,17272,"pittsburgh, pennsylvania, usa",23.0,0
200,17408,"tucson, arizona, usa",,0
201,17420,"sun lakes, arizona, usa",62.0,0
202,17451,"la, california, usa",,0
203,17464,"farmington, new mexico, usa",64.0,0
204,17484,"springfield, illinois, usa",,0
