,uid,location,age,rating
0,14,"mediapolis, iowa, usa",,5
1,14,"mediapolis, iowa, usa",,6
2,19,"weston, ,",14.0,7
3,42,"appleton, wisconsin, usa",17.0,7
4,73,"wentzville, missouri, usa",,5
5,110,"peoira, illinois, usa",,6
6,289,"tampa, florida, usa",15.0,7
7,289,"tampa, florida, usa",15.0,6
8,300,"newport news, virginia, usa",,5
9,300,"newport news, virginia, usa",,5
10,620,"toronto, ontario, canada",45.0,7
11,641,"portland, oregon, usa",,5
12,695,"alphen aan den rijn, zuid holland, netherlands",,7
13,999,"newark, delaware, usa",21.0,7
14,1016,"clementon, new jersey, usa",,7
15,1057,"norwich, norfolk, united kingdom",19.0,6
16,1359,"houston, texas, usa",14.0,7
17,1376,"peoria, illinois, usa",,7
18,1486,"montmorency, victoria, australia",75.0,5
19,1589,"clio, michigan,",50.0,5
20,1790,"chicago, illinois, usa",25.0,5
21,1790,"chicago, illinois, usa",25.0,4
22,2018,"edson, alberta, canada",21.0,5
23,2169,"hollister, california, usa",,7
24,2340,"st. louis, missouri, usa",29.0,4
25,2461,"san francisco, california, usa",59.0,7
26,2503,"london, england, united kingdom",36.0,7
27,2681,"christchurch, canterbury, new zealand",,5
28,3106,"memphis, tennessee, usa",,5
29,3146,"hawthorne, new jersey, usa",,7
30,3679,"allston, massachusetts, usa",25.0,6
31,3768,"section, ,",23.0,5
32,3814,"langhorne, pennsylvania, usa",,7
33,3885,"burlington, north carolina, usa",,5
34,3983,"north oaks, minnesota, usa",,6
35,4059,"portland, ,",,6
36,4120,"dickinson, north dakota, usa",,6
37,4181,"anchorage, alaska, usa",44.0,6
38,4248,"montreal, quebec, canada",28.0,7
39,4285,"adrian, michigan, usa",50.0,5
40,4521,"victoria, british columbia, canada",,5
41,4574,"san siego, california, usa",,5
42,4942,"bracebridge, ontario, canada",,7
43,4995,"chicago, illinois, usa",33.0,7
44,5030,"orleans, ontario, canada",,6
45,5126,"chula vista, california, usa",53.0,5
46,5162,"tehachapi, california, usa",66.0,7
47,5289,"dunwoody, georgia, usa",,5
48,5296,"brooklyn, new york, usa",34.0,6
49,5468,"no comment, wisconsin, usa",15.0,7
50,5531,"san francisco, california, usa",,7
51,5766,"powder springs, georgia, usa",40.0,6
52,5766,"powder springs, georgia, usa",40.0,5
53,5770,"london, england, united kingdom",37.0,5
54,5775,"melbourne, florida, usa",34.0,6
55,6083,"melbourne, victoria, australia",39.0,5
56,6226,"madison, alabama, usa",40.0,6
57,6253,"inverness, scotland, united kingdom",39.0,4
58,6680,"walled lake, michigan, usa",17.0,7
59,6680,"walled lake, michigan, usa",17.0,6
60,6746,"laurel, maryland, usa",,7
61,6950,"memphis, tennessee, usa",,5
62,7021,"chula vista, california, usa",39.0,7
63,7193,"prosperity, pennsylvania, usa",,7
64,7226,"little rock, arkansas, usa",,5
65,7277,"palm coast, florida, usa",,7
66,7364,"ithaca, new york, usa",26.0,7
67,7471,"new york, new york, usa",36.0,5
68,7474,"eagle, idaho, usa",50.0,5
69,7928,"durand, michigan, usa",39.0,6
70,7941,"carmel, california, usa",,7
71,8091,"hingham, massachusetts, usa",,7
72,8111,"fullerton, california, usa",33.0,7
73,8219,"san francisco, california, usa",25.0,7
74,8317,"mojave desert, california, usa",,5
75,8317,"mojave desert, california, usa",,7
76,8630,"hurst, texas, usa",45.0,7
77,8706,"olathe, kansas, usa",48.0,7
78,9083,"mercer island, washington, usa",,4
79,9139,"mt. pleasant, michigan, usa",17.0,6
80,9172,"jacobus, pennsylvania, usa",,4
81,9258,"ilkley, west yorkshire, united kingdom",14.0,7
82,9277,"sacramento, california, usa",,6
83,9296,"edgewater, maryland, usa",59.0,7
84,9449,"auckland, n/a, new zealand",,7
85,9557,"cols, ohio, usa",16.0,7
86,9902,"cincinnati, ohio, usa",,7
87,10140,"cedar rapids, iowa, usa",,7
88,10162,"calgary, alberta, canada",,6
89,10221,"bellingham, washington, usa",29.0,7
90,10325,"lockport, illinois, usa",18.0,7
91,10385,"courtenay, british columbia, canada",,6
92,10578,"monroe, georgia, usa",16.0,5
93,10696,"hudson falls, new york, usa",11.0,6
94,10708,"ijamsville, maryland, usa",28.0,6
95,11240,"casagrande, arizona, usa",36.0,7
96,11351,"tubac, arizona, usa",59.0,7
97,11521,"st. louis, missouri, usa",24.0,6
98,11662,"cleveland, ohio, usa",,6
99,11853,", , singapore",,5
100,11908,"prince george, british columbia, canada",20.0,5
101,11999,"matthews, north carolina, usa",,6
102,12264,"kuna, idaho, usa",39.0,7
103,12565,"ellabell, georgia, usa",,7
104,12755,"oakville, washington, usa",40.0,7
105,12873,"atlanta, georgia, usa",,7
106,12964,"los angeles, california, usa",21.0,7
107,12977,"kannur, kerala, india",16.0,6
108,13065,"columbia, missouri, usa",,7
109,13088,"piacenza, emilia romagna, italy",14.0,6
110,13149,"columbus, ohio, usa",,7
111,13407,"rein-main ab, hessen, germany",14.0,6
112,13420,"st.paul, minnesota, usa",,6
113,13448,"bellingham, washington, usa",,5
114,13479,"rotterdam, zuid holland, netherlands",31.0,4
115,13479,"rotterdam, zuid holland, netherlands",31.0,6
116,13594,"pittsburgh, pennsylvania, usa",,5
117,13599,"cupertino, california, usa",20.0,7
118,13649,"sierra vista, arizona, usa",62.0,5
119,13726,"ft walton beach, florida, usa",44.0,7
120,13737,"lafayete, louisiana, usa",,5
121,13811,"brighton, , usa",41.0,5
122,13834,"eugene, oregon, usa",,7
123,14450,"petaluma, california, usa",,4
124,14519,"elizabethtown, pennsylvania, usa",,7
125,14763,"cumberland, ontario, canada",,4
126,14787,"leicester, england, united kingdom",39.0,6
127,14801,"hamilton, ontario, canada",23.0,7
128,15120,"bloomfield, michigan, usa",,7
129,15123,"northborough, massachusetts, usa",21.0,7
130,15351,"salinas, california, usa",24.0,7
131,15479,"ottawa, ontario, canada",21.0,6
132,15487,"neckargemuend, baden-wuerttemberg, germany",39.0,5
133,15490,"belton, south carolina, usa",45.0,6
134,15638,"washington, dc, usa",32.0,7
135,15803,"south pasadena, california,",,4
